active,confirmed,country,deaths,recovered
82,430,Diamond Princess,11,619
82,430,Diamond Princess,11,17
402,430,Diamond Princess,11,17
402,430,North Macedonia,11,17
402,396,North Macedonia,11,17
402,396,North Macedonia,11,17
402,396,North Macedonia,11,28
357,396,North Macedonia,11,28
357,396,Cyprus,11,28
357,132,Cyprus,11,28
357,132,Cyprus,9,28
357,132,Cyprus,9,1
122,132,Cyprus,9,1
122,132,Bolivia,9,1
122,696,Bolivia,9,1
122,696,Bolivia,9,1
122,696,Bolivia,9,7
680,696,Bolivia,9,7
680,696,Lithuania,9,7
680,1079,Lithuania,9,7
680,1079,Lithuania,8,7
680,1079,Lithuania,8,92
979,1079,Lithuania,8,92
979,1079,Croatia,8,92
979,1024,Croatia,8,92
979,1024,Croatia,8,92
979,1024,Croatia,8,96
920,1024,Croatia,8,96
920,1024,UAE,8,96
920,591,UAE,8,96
920,591,UAE,8,96
920,591,UAE,8,26
557,591,UAE,8,26
557,591,Moldova,8,26
557,736,Moldova,8,26
557,736,Moldova,7,26
557,736,Moldova,7,43
686,736,Moldova,7,43
686,736,Armenia,7,43
686,306,Armenia,7,43
686,306,Armenia,7,43
686,306,Armenia,7,10
289,306,Armenia,7,10
289,306,Cameroon,7,10
289,186,Cameroon,7,10
289,186,Cameroon,7,10
289,186,Cameroon,7,0
179,186,Cameroon,7,0
179,186,Mauritius,7,0
179,1505,Mauritius,7,0
179,1505,Mauritius,7,0
179,1505,Mauritius,7,95
1403,1505,Mauritius,7,95
1403,1505,South Africa,7,95
1403,460,South Africa,7,95
1403,460,South Africa,6,95
1403,460,South Africa,6,29
425,460,South Africa,6,29
425,460,Kazakhstan,6,29
425,281,Kazakhstan,6,29
425,281,Kazakhstan,6,29
425,281,Kazakhstan,6,10
265,281,Kazakhstan,6,10
265,281,Afghanistan,6,10
265,269,Afghanistan,6,10
265,269,Afghanistan,6,10
265,269,Afghanistan,6,15
248,269,Afghanistan,6,15
248,269,Cuba,6,15
248,128,Cuba,6,15
248,128,Cuba,6,15
248,128,Cuba,6,24
98,128,Cuba,6,24
98,128,Guadeloupe,6,24
98,97,Guadeloupe,6,24
98,97,Guadeloupe,6,24
98,97,Guadeloupe,6,1
90,97,Guadeloupe,6,1
90,97,Trinidad and Tobago,6,1
90,61,Trinidad and Tobago,6,1
90,61,Trinidad and Tobago,6,1
90,61,Trinidad and Tobago,6,26
29,61,Trinidad and Tobago,6,26
29,61,Bangladesh,6,26
29,1114,Bangladesh,6,26
29,1114,Bangladesh,5,26
29,1114,Bangladesh,5,282
827,1114,Bangladesh,5,282
827,1114,Singapore,5,282
827,299,Singapore,5,282
827,299,Singapore,5,282
827,299,Singapore,5,45
249,299,Singapore,5,45
249,299,Jordan,5,45
249,204,Jordan,5,45
249,204,Jordan,5,45
249,204,Jordan,5,31
168,204,Jordan,5,31
168,204,Ghana,5,31
168,443,Ghana,5,31
168,443,Ghana,5,31
168,443,Ghana,5,32
406,443,Ghana,5,32
406,443,Azerbaijan,5,32
406,348,Azerbaijan,5,32
406,348,Azerbaijan,5,32
406,348,Azerbaijan,5,50
293,348,Azerbaijan,5,50
293,348,Taiwan,5,50
293,146,Taiwan,5,50
293,146,Taiwan,5,50
